slope_min,comparison,n_runs,final_cutoff,cascade_prob_ci_low,source_experiment,transition_window,cascade_prob,cascade_prob_ci_high
0.01,D small_world seed=bridge,1000,0.7,0.5945690386793249,expD,30,0.625,0.6544742366740776
0.01,D power_law seed=bridge,50,0.7,0.9286499658256813,expD,30,1.0,1.0
0.01,D small_world seed=clustered,250,0.7,0.008572197944651562,expD,30,0.02,0.045956295414986886
0.01,D power_law seed=clustered,250,0.7,0.4149231875977522,expD,30,0.476,0.5378032370702297
0.01,E seed=random pioneer=random,1000,0.7,0.1602624460409235,expE,30,0.183,0.20816380766284814
0.01,E seed=random pioneer=hub_bridge,1000,0.7,0.9927370411104123,expE,30,0.998,0.9994513678975429
0.01,E seed=hub_bridge pioneer=random,1000,0.7,0.6995857085708711,expE,30,0.728,0.7546692256737347
0.01,E seed=hub_bridge pioneer=hub_bridge,1000,0.7,0.9961731014136095,expE,30,1.0,1.0
0.01,F robustness_axis=premium_sigma premium_ratio=1.5 digital_growth_sd=0.25,50,0.7,0.0,robustness,30,0.0,0.07135003417431873
0.01,F robustness_axis=premium_sigma premium_ratio=1.5 digital_growth_sd=0.75,50,0.7,0.0,robustness,30,0.0,0.07135003417431873
0.01,F robustness_axis=premium_sigma premium_ratio=1.5 digital_growth_sd=1.0,50,0.7,0.0,robustness,30,0.0,0.07135003417431873
0.01,F robustness_axis=premium_sigma premium_ratio=2.0 digital_growth_sd=0.25,50,0.7,0.0,robustness,30,0.0,0.07135003417431873
0.01,F robustness_axis=premium_sigma premium_ratio=2.0 digital_growth_sd=0.75,50,0.7,0.0,robustness,30,0.0,0.07135003417431873
0.01,F robustness_axis=premium_sigma premium_ratio=2.0 digital_growth_sd=1.0,50,0.7,0.0,robustness,30,0.0,0.07135003417431873
0.01,F robustness_axis=premium_sigma premium_ratio=3.0 digital_growth_sd=0.25,250,0.7,0.18396999526506153,robustness,30,0.232,0.2881417468607366
0.01,F robustness_axis=premium_sigma premium_ratio=3.0 digital_growth_sd=0.75,50,0.7,0.0,robustness,30,0.0,0.07135003417431873
0.01,F robustness_axis=premium_sigma premium_ratio=3.0 digital_growth_sd=1.0,50,0.7,0.0,robustness,30,0.0,0.07135003417431873
0.01,F robustness_axis=premium_sigma premium_ratio=5.0 digital_growth_sd=0.25,250,0.7,0.4110089576615158,robustness,30,0.472,0.5338385377844631
0.01,F robustness_axis=premium_sigma premium_ratio=5.0 digital_growth_sd=0.75,50,0.7,0.0,robustness,30,0.0,0.07135003417431873
0.01,F robustness_axis=premium_sigma premium_ratio=5.0 digital_growth_sd=1.0,50,0.7,0.0,robustness,30,0.0,0.07135003417431873
0.01,F robustness_axis=premium_sigma premium_ratio=10.0 digital_growth_sd=0.25,250,0.7,0.40709862287317655,robustness,30,0.468,0.5298699433507994
0.01,F robustness_axis=premium_sigma premium_ratio=10.0 digital_growth_sd=0.75,250,0.7,0.4149231875977522,robustness,30,0.476,0.5378032370702297
0.01,F robustness_axis=premium_sigma premium_ratio=10.0 digital_growth_sd=1.0,250,0.7,0.08536266215857913,robustness,30,0.12,0.16613906175113463
0.01,F robustness_axis=theta_mean digital_growth_sd=1.0 theta_sweep=0.6499999999999999,250,0.7,0.1694915254237288,robustness,30,0.216,0.27110449981405726
0.01,F robustness_axis=theta_mean digital_growth_sd=1.0 theta_sweep=0.7,250,0.7,0.10931920870538417,robustness,30,0.148,0.1973350197583507
0.01,F robustness_axis=theta_mean digital_growth_sd=1.0 theta_sweep=0.75,50,0.7,0.0035391680889764604,robustness,30,0.02,0.10495686471836953
0.01,F robustness_axis=seed_fraction digital_growth_sd=1.0 seed_fraction_sweep=0.003,50,0.7,0.0035391680889764604,robustness,30,0.02,0.10495686471836953
0.01,F robustness_axis=seed_fraction digital_growth_sd=1.0 seed_fraction_sweep=0.006,250,0.7,0.12675788778063776,robustness,30,0.168,0.21929098679311218
0.01,F robustness_axis=seed_fraction digital_growth_sd=1.0 seed_fraction_sweep=0.012,50,0.7,0.6258705062480763,robustness,30,0.76,0.8570274759812779
0.01,F robustness_axis=update_schedule digital_growth_sd=1.0 update_schedule=synchronous,250,0.7,0.08874794216937745,robustness,30,0.124,0.1706327109623393
0.01,F robustness_axis=update_schedule digital_growth_sd=1.0 update_schedule=asynchronous,250,0.7,0.31825876924195456,robustness,30,0.376,0.4374944248759521
0.01,F robustness_axis=return_distribution digital_growth_sd=1.0 return_distribution_sweep=normal,250,0.7,0.07529144734526685,robustness,30,0.108,0.1525734888984379
0.01,F robustness_axis=return_distribution digital_growth_sd=1.0 return_distribution_sweep=truncated_normal,250,0.7,0.3144454410853008,robustness,30,0.372,0.43342882381060277
0.01,F robustness_axis=return_distribution digital_growth_sd=1.0 return_distribution_sweep=lognormal,250,0.7,0.29544366352974316,robustness,30,0.352,0.41303595525614534
0.01,F robustness_axis=performance_benchmark digital_growth_sd=1.0 performance_benchmark_sweep=own,250,0.7,0.10241566325298423,robustness,30,0.14,0.1884807067667446
0.01,F robustness_axis=performance_benchmark digital_growth_sd=1.0 performance_benchmark_sweep=mean,50,0.7,0.9286499658256813,robustness,30,1.0,1.0
0.01,F robustness_axis=performance_benchmark digital_growth_sd=1.0 performance_benchmark_sweep=median,50,0.7,0.0,robustness,30,0.0,0.07135003417431873
0.01,F robustness_axis=performance_benchmark digital_growth_sd=1.0 performance_benchmark_sweep=p75,50,0.7,0.9286499658256813,robustness,30,1.0,1.0
0.01,F robustness_axis=abandonment digital_growth_sd=1.0 abandonment_sweep=absorbing,250,0.7,0.12325083757520047,robustness,30,0.164,0.21491910777654646
0.01,F robustness_axis=abandonment digital_growth_sd=1.0 abandonment_sweep=nonabsorbing,250,0.7,0.11626512943648533,robustness,30,0.156,0.20614695747125555
0.015,A hazard,50,0.7,0.0,expA,30,0.0,0.07135003417431873
0.015,A frequency-based,50,0.7,0.0,expA,30,0.0,0.07135003417431873
0.015,A success-based,1000,0.7,0.9425806957803401,expA,30,0.957,0.9679215189116991
0.015,B small_world beta=0.001 m=missing,50,0.7,0.0,expB,30,0.0,0.07135003417431873
0.015,B small_world beta=0.005 m=missing,50,0.7,0.0,expB,30,0.0,0.07135003417431873
0.015,B small_world beta=0.01 m=missing,50,0.7,0.0,expB,30,0.0,0.07135003417431873
0.015,B small_world beta=0.05 m=missing,50,0.7,0.0,expB,30,0.0,0.07135003417431873
0.015,B small_world beta=0.1 m=missing,50,0.7,0.0,expB,30,0.0,0.07135003417431873
0.015,B small_world beta=0.2 m=missing,50,0.7,0.0,expB,30,0.0,0.07135003417431873
0.015,B small_world beta=0.4 m=missing,1000,0.7,0.12360059987923061,expB,30,0.144,0.16712415191427943
0.015,B small_world beta=0.7 m=missing,250,0.7,0.3106363981848008,expB,30,0.368,0.4293589374890997
0.015,B small_world beta=1.0 m=missing,50,0.7,0.2586259584257722,expB,30,0.38,0.5184980497760643
0.015,B power_law beta=missing m=2,250,0.7,0.2840956187275826,expB,30,0.34,0.40074721239229694
0.015,B degree_matched_random beta=missing m=2,50,0.7,0.5418944286372394,expB,30,0.68,0.792419559060006
0.015,B power_law beta=missing m=3,50,0.7,0.8950431352816304,expB,30,0.98,0.9964608319110235
0.015,B degree_matched_random beta=missing m=3,50,0.7,0.6258705062480763,expB,30,0.76,0.8570274759812779
0.015,B power_law beta=missing m=5,1000,0.7,0.9961731014136095,expB,30,1.0,1.0
0.015,B degree_matched_random beta=missing m=5,50,0.7,0.6920368054529739,expB,30,0.82,0.902299172675462
0.015,B power_law beta=missing m=8,50,0.7,0.9286499658256813,expB,30,1.0,1.0
0.015,B degree_matched_random beta=missing m=8,50,0.7,0.5833461285401034,expB,30,0.72,0.8252598564231963
0.015,B power_law beta=missing m=12,50,0.7,0.9286499658256813,expB,30,1.0,1.0
0.015,B degree_matched_random beta=missing m=12,250,0.7,0.6529921633129403,expB,30,0.712,0.7645910854532194
0.015,C homogeneous beta=0.4 vary=false,1000,0.7,0.021093603189697094,expC,30,0.03,0.04250368148151
0.015,C lower_mean beta=0.4 vary=false,1000,0.7,0.05310169229975138,expC,30,0.067,0.08421240187606284
0.015,C higher_variance beta=0.4 vary=false,1000,0.7,0.8637364095483508,expC,30,0.885,0.9033168785401287
0.015,C mixture pi=0.01 beta=0.4 vary=false,250,0.7,0.07529144734526685,expC,30,0.108,0.1525734888984379
0.015,C mixture pi=0.03 beta=0.4 vary=false,250,0.7,0.21322710068235817,expC,30,0.264,0.3219160752194641
0.015,C mixture pi=0.05 beta=0.4 vary=false,1000,0.7,0.5441306229679281,expC,30,0.575,0.6052953422441132
0.015,C mixture pi=0.1 beta=0.4 vary=false,50,0.7,0.7148551903823401,expC,30,0.84,0.9166267863791231
0.015,C mixture pi=0.01 beta=0.05 vary=true,50,0.7,0.0,expC,30,0.0,0.07135003417431873
0.015,C mixture pi=0.03 beta=0.05 vary=true,50,0.7,0.0,expC,30,0.0,0.07135003417431873
0.015,C mixture pi=0.05 beta=0.05 vary=true,50,0.7,0.0,expC,30,0.0,0.07135003417431873
0.015,C mixture pi=0.1 beta=0.05 vary=true,50,0.7,0.0,expC,30,0.0,0.07135003417431873
0.015,C mixture pi=0.01 beta=0.1 vary=true,50,0.7,0.0,expC,30,0.0,0.07135003417431873
0.015,C mixture pi=0.03 beta=0.1 vary=true,50,0.7,0.0,expC,30,0.0,0.07135003417431873
0.015,C mixture pi=0.05 beta=0.1 vary=true,50,0.7,0.0,expC,30,0.0,0.07135003417431873
0.015,C mixture pi=0.1 beta=0.1 vary=true,50,0.7,0.0,expC,30,0.0,0.07135003417431873
0.015,C mixture pi=0.01 beta=0.2 vary=true,50,0.7,0.0,expC,30,0.0,0.07135003417431873
0.015,C mixture pi=0.03 beta=0.2 vary=true,250,0.7,0.0021965911168378323,expC,30,0.008,0.028695114576791584
0.015,C mixture pi=0.05 beta=0.2 vary=true,250,0.7,0.03063736169809375,expC,30,0.052,0.0869225654375688
0.015,C mixture pi=0.1 beta=0.2 vary=true,250,0.7,0.036694082794353496,expC,30,0.06,0.0966237027853151
0.015,C mixture pi=0.01 beta=0.4 vary=true,250,0.7,0.03364733819454402,expC,30,0.056,0.09179151816312153
0.015,C mixture pi=0.03 beta=0.4 vary=true,250,0.7,0.24657086403938408,expC,30,0.3,0.3594826748604653
0.015,C mixture pi=0.05 beta=0.4 vary=true,250,0.7,0.46219676292977036,expC,30,0.524,0.5850768124022478
0.015,C mixture pi=0.1 beta=0.4 vary=true,50,0.7,0.6044657801100008,expC,30,0.74,0.8412862034863262
0.015,C mixture pi=0.01 beta=0.7 vary=true,250,0.7,0.18396999526506153,expC,30,0.232,0.2881417468607366
0.015,C mixture pi=0.03 beta=0.7 vary=true,250,0.7,0.4542790313566007,expC,30,0.516,0.5772366855314113
0.015,C mixture pi=0.05 beta=0.7 vary=true,50,0.7,0.738135428014719,expC,30,0.86,0.9304925473797714
0.015,C mixture pi=0.1 beta=0.7 vary=true,50,0.7,0.9286499658256813,expC,30,1.0,1.0
0.015,D small_world seed=random,250,0.7,0.11278704166232252,expD,30,0.152,0.20174611602341536
0.015,D power_law seed=random,250,0.7,0.1373327388520246,expD,30,0.18,0.23235292338773436
0.015,D small_world seed=high_degree,250,0.7,0.5584442321707381,expD,30,0.62,0.6779236444893522
0.015,D power_law seed=high_degree,1000,0.7,0.9943572970398398,expD,30,0.999,0.9998234581709429
0.015,D small_world seed=bridge,1000,0.7,0.5945690386793249,expD,30,0.625,0.6544742366740776
0.015,D power_law seed=bridge,50,0.7,0.9286499658256813,expD,30,1.0,1.0
0.015,D small_world seed=clustered,250,0.7,0.008572197944651562,expD,30,0.02,0.045956295414986886
0.015,D power_law seed=clustered,250,0.7,0.4149231875977522,expD,30,0.476,0.5378032370702297
0.015,E seed=random pioneer=random,1000,0.7,0.1602624460409235,expE,30,0.183,0.20816380766284814
0.015,E seed=random pioneer=hub_bridge,1000,0.7,0.9927370411104123,expE,30,0.998,0.9994513678975429
0.015,E seed=hub_bridge pioneer=random,1000,0.7,0.6995857085708711,expE,30,0.728,0.7546692256737347
0.015,E seed=hub_bridge pioneer=hub_bridge,1000,0.7,0.9961731014136095,expE,30,1.0,1.0
0.015,F robustness_axis=premium_sigma premium_ratio=1.5 digital_growth_sd=0.25,50,0.7,0.0,robustness,30,0.0,0.07135003417431873
0.015,F robustness_axis=premium_sigma premium_ratio=1.5 digital_growth_sd=0.75,50,0.7,0.0,robustness,30,0.0,0.07135003417431873
0.015,F robustness_axis=premium_sigma premium_ratio=1.5 digital_growth_sd=1.0,50,0.7,0.0,robustness,30,0.0,0.07135003417431873
0.015,F robustness_axis=premium_sigma premium_ratio=2.0 digital_growth_sd=0.25,50,0.7,0.0,robustness,30,0.0,0.07135003417431873
0.015,F robustness_axis=premium_sigma premium_ratio=2.0 digital_growth_sd=0.75,50,0.7,0.0,robustness,30,0.0,0.07135003417431873
0.015,F robustness_axis=premium_sigma premium_ratio=2.0 digital_growth_sd=1.0,50,0.7,0.0,robustness,30,0.0,0.07135003417431873
0.015,F robustness_axis=premium_sigma premium_ratio=3.0 digital_growth_sd=0.25,250,0.7,0.18396999526506153,robustness,30,0.232,0.2881417468607366
0.015,F robustness_axis=premium_sigma premium_ratio=3.0 digital_growth_sd=0.75,50,0.7,0.0,robustness,30,0.0,0.07135003417431873
0.015,F robustness_axis=premium_sigma premium_ratio=3.0 digital_growth_sd=1.0,50,0.7,0.0,robustness,30,0.0,0.07135003417431873
0.015,F robustness_axis=premium_sigma premium_ratio=5.0 digital_growth_sd=0.25,250,0.7,0.4110089576615158,robustness,30,0.472,0.5338385377844631
0.015,F robustness_axis=premium_sigma premium_ratio=5.0 digital_growth_sd=0.75,50,0.7,0.0,robustness,30,0.0,0.07135003417431873
0.015,F robustness_axis=premium_sigma premium_ratio=5.0 digital_growth_sd=1.0,50,0.7,0.0,robustness,30,0.0,0.07135003417431873
0.015,F robustness_axis=premium_sigma premium_ratio=10.0 digital_growth_sd=0.25,250,0.7,0.40709862287317655,robustness,30,0.468,0.5298699433507994
0.015,F robustness_axis=premium_sigma premium_ratio=10.0 digital_growth_sd=0.75,250,0.7,0.4149231875977522,robustness,30,0.476,0.5378032370702297
0.015,F robustness_axis=premium_sigma premium_ratio=10.0 digital_growth_sd=1.0,250,0.7,0.08536266215857913,robustness,30,0.12,0.16613906175113463
0.015,F robustness_axis=theta_mean digital_growth_sd=1.0 theta_sweep=0.6499999999999999,250,0.7,0.1694915254237288,robustness,30,0.216,0.27110449981405726
0.015,F robustness_axis=theta_mean digital_growth_sd=1.0 theta_sweep=0.7,250,0.7,0.10931920870538417,robustness,30,0.148,0.1973350197583507
0.015,F robustness_axis=theta_mean digital_growth_sd=1.0 theta_sweep=0.75,50,0.7,0.0035391680889764604,robustness,30,0.02,0.10495686471836953
0.015,F robustness_axis=seed_fraction digital_growth_sd=1.0 seed_fraction_sweep=0.003,50,0.7,0.0035391680889764604,robustness,30,0.02,0.10495686471836953
0.015,F robustness_axis=seed_fraction digital_growth_sd=1.0 seed_fraction_sweep=0.006,250,0.7,0.12675788778063776,robustness,30,0.168,0.21929098679311218
0.015,F robustness_axis=seed_fraction digital_growth_sd=1.0 seed_fraction_sweep=0.012,50,0.7,0.6258705062480763,robustness,30,0.76,0.8570274759812779
0.015,F robustness_axis=update_schedule digital_growth_sd=1.0 update_schedule=synchronous,250,0.7,0.08874794216937745,robustness,30,0.124,0.1706327109623393
0.015,F robustness_axis=update_schedule digital_growth_sd=1.0 update_schedule=asynchronous,250,0.7,0.31825876924195456,robustness,30,0.376,0.4374944248759521
0.015,F robustness_axis=return_distribution digital_growth_sd=1.0 return_distribution_sweep=normal,250,0.7,0.07529144734526685,robustness,30,0.108,0.1525734888984379
0.015,F robustness_axis=return_distribution digital_growth_sd=1.0 return_distribution_sweep=truncated_normal,250,0.7,0.3144454410853008,robustness,30,0.372,0.43342882381060277
0.015,F robustness_axis=return_distribution digital_growth_sd=1.0 return_distribution_sweep=lognormal,250,0.7,0.29544366352974316,robustness,30,0.352,0.41303595525614534
0.015,F robustness_axis=performance_benchmark digital_growth_sd=1.0 performance_benchmark_sweep=own,250,0.7,0.10241566325298423,robustness,30,0.14,0.1884807067667446
0.015,F robustness_axis=performance_benchmark digital_growth_sd=1.0 performance_benchmark_sweep=mean,50,0.7,0.9286499658256813,robustness,30,1.0,1.0
0.015,F robustness_axis=performance_benchmark digital_growth_sd=1.0 performance_benchmark_sweep=median,50,0.7,0.0,robustness,30,0.0,0.07135003417431873
0.015,F robustness_axis=performance_benchmark digital_growth_sd=1.0 performance_benchmark_sweep=p75,50,0.7,0.9286499658256813,robustness,30,1.0,1.0
0.015,F robustness_axis=abandonment digital_growth_sd=1.0 abandonment_sweep=absorbing,250,0.7,0.12325083757520047,robustness,30,0.164,0.21491910777654646
0.015,F robustness_axis=abandonment digital_growth_sd=1.0 abandonment_sweep=nonabsorbing,250,0.7,0.11626512943648533,robustness,30,0.156,0.20614695747125555
0.02,A hazard,50,0.7,0.0,expA,30,0.0,0.07135003417431873
0.02,A frequency-based,50,0.7,0.0,expA,30,0.0,0.07135003417431873
0.02,A success-based,1000,0.7,0.9425806957803401,expA,30,0.957,0.9679215189116991
0.02,B small_world beta=0.001 m=missing,50,0.7,0.0,expB,30,0.0,0.07135003417431873
0.02,B small_world beta=0.005 m=missing,50,0.7,0.0,expB,30,0.0,0.07135003417431873
0.02,B small_world beta=0.01 m=missing,50,0.7,0.0,expB,30,0.0,0.07135003417431873
0.02,B small_world beta=0.05 m=missing,50,0.7,0.0,expB,30,0.0,0.07135003417431873
0.02,B small_world beta=0.1 m=missing,50,0.7,0.0,expB,30,0.0,0.07135003417431873
0.02,B small_world beta=0.2 m=missing,50,0.7,0.0,expB,30,0.0,0.07135003417431873
0.02,B small_world beta=0.4 m=missing,1000,0.7,0.12173369457141411,expB,30,0.142,0.16500636481644151
0.02,B small_world beta=0.7 m=missing,250,0.7,0.3106363981848008,expB,30,0.368,0.4293589374890997
0.02,B small_world beta=1.0 m=missing,50,0.7,0.2586259584257722,expB,30,0.38,0.5184980497760643
0.02,B power_law beta=missing m=2,250,0.7,0.2840956187275826,expB,30,0.34,0.40074721239229694
0.02,B degree_matched_random beta=missing m=2,50,0.7,0.5418944286372394,expB,30,0.68,0.792419559060006
0.02,B power_law beta=missing m=3,50,0.7,0.8950431352816304,expB,30,0.98,0.9964608319110235
0.02,B degree_matched_random beta=missing m=3,50,0.7,0.6258705062480763,expB,30,0.76,0.8570274759812779
0.02,B power_law beta=missing m=5,1000,0.7,0.9961731014136095,expB,30,1.0,1.0
0.02,B degree_matched_random beta=missing m=5,50,0.7,0.6920368054529739,expB,30,0.82,0.902299172675462
0.02,B power_law beta=missing m=8,50,0.7,0.9286499658256813,expB,30,1.0,1.0
0.02,B degree_matched_random beta=missing m=8,50,0.7,0.5833461285401034,expB,30,0.72,0.8252598564231963
0.02,B power_law beta=missing m=12,50,0.7,0.9286499658256813,expB,30,1.0,1.0
0.02,B degree_matched_random beta=missing m=12,250,0.7,0.6529921633129403,expB,30,0.712,0.7645910854532194
0.02,C homogeneous beta=0.4 vary=false,1000,0.7,0.021093603189697094,expC,30,0.03,0.04250368148151
0.02,C lower_mean beta=0.4 vary=false,1000,0.7,0.052212125206787474,expC,30,0.066,0.08310962276619951
0.02,C higher_variance beta=0.4 vary=false,1000,0.7,0.8637364095483508,expC,30,0.885,0.9033168785401287
0.02,C mixture pi=0.01 beta=0.4 vary=false,250,0.7,0.07196474410827003,expC,30,0.104,0.14802126291343168
0.02,C mixture pi=0.03 beta=0.4 vary=false,250,0.7,0.20954936702346566,expC,30,0.26,0.31771487965635353
0.02,C mixture pi=0.05 beta=0.4 vary=false,1000,0.7,0.5421198333410192,expC,30,0.573,0.6033214394653678
0.02,C mixture pi=0.1 beta=0.4 vary=false,50,0.7,0.7148551903823401,expC,30,0.84,0.9166267863791231
0.02,C mixture pi=0.01 beta=0.05 vary=true,50,0.7,0.0,expC,30,0.0,0.07135003417431873
0.02,C mixture pi=0.03 beta=0.05 vary=true,50,0.7,0.0,expC,30,0.0,0.07135003417431873
0.02,C mixture pi=0.05 beta=0.05 vary=true,50,0.7,0.0,expC,30,0.0,0.07135003417431873
0.02,C mixture pi=0.1 beta=0.05 vary=true,50,0.7,0.0,expC,30,0.0,0.07135003417431873
0.02,C mixture pi=0.01 beta=0.1 vary=true,50,0.7,0.0,expC,30,0.0,0.07135003417431873
0.02,C mixture pi=0.03 beta=0.1 vary=true,50,0.7,0.0,expC,30,0.0,0.07135003417431873
0.02,C mixture pi=0.05 beta=0.1 vary=true,50,0.7,0.0,expC,30,0.0,0.07135003417431873
0.02,C mixture pi=0.1 beta=0.1 vary=true,50,0.7,0.0,expC,30,0.0,0.07135003417431873
0.02,C mixture pi=0.01 beta=0.2 vary=true,50,0.7,0.0,expC,30,0.0,0.07135003417431873
0.02,C mixture pi=0.03 beta=0.2 vary=true,250,0.7,0.0021965911168378323,expC,30,0.008,0.028695114576791584
0.02,C mixture pi=0.05 beta=0.2 vary=true,250,0.7,0.02766792620603601,expC,30,0.048,0.08201307170762354
0.02,C mixture pi=0.1 beta=0.2 vary=true,250,0.7,0.036694082794353496,expC,30,0.06,0.0966237027853151
0.02,C mixture pi=0.01 beta=0.4 vary=true,250,0.7,0.03364733819454402,expC,30,0.056,0.09179151816312153
0.02,C mixture pi=0.03 beta=0.4 vary=true,250,0.7,0.24284512248053705,expC,30,0.296,0.3553294871973093
0.02,C mixture pi=0.05 beta=0.4 vary=true,250,0.7,0.45823595399411676,expC,30,0.52,0.5811586921158984
0.02,C mixture pi=0.1 beta=0.4 vary=true,50,0.7,0.6044657801100008,expC,30,0.74,0.8412862034863262
0.02,C mixture pi=0.01 beta=0.7 vary=true,250,0.7,0.18396999526506153,expC,30,0.232,0.2881417468607366
0.02,C mixture pi=0.03 beta=0.7 vary=true,250,0.7,0.4542790313566007,expC,30,0.516,0.5772366855314113
0.02,C mixture pi=0.05 beta=0.7 vary=true,50,0.7,0.738135428014719,expC,30,0.86,0.9304925473797714
0.02,C mixture pi=0.1 beta=0.7 vary=true,50,0.7,0.9286499658256813,expC,30,1.0,1.0
0.02,D small_world seed=random,250,0.7,0.10931920870538417,expD,30,0.148,0.1973350197583507
0.02,D power_law seed=random,250,0.7,0.1373327388520246,expD,30,0.18,0.23235292338773436
0.02,D small_world seed=high_degree,250,0.7,0.5584442321707381,expD,30,0.62,0.6779236444893522
0.02,D power_law seed=high_degree,1000,0.7,0.9943572970398398,expD,30,0.999,0.9998234581709429
0.02,D small_world seed=bridge,1000,0.7,0.5915334005989225,expD,30,0.622,0.6515328361459983
0.02,D power_law seed=bridge,50,0.7,0.9286499658256813,expD,30,1.0,1.0
0.02,D small_world seed=clustered,250,0.7,0.008572197944651562,expD,30,0.02,0.045956295414986886
0.02,D power_law seed=clustered,250,0.7,0.4149231875977522,expD,30,0.476,0.5378032370702297
0.02,E seed=random pioneer=random,1000,0.7,0.15931686315695637,expE,30,0.182,0.20711704434398803
0.02,E seed=random pioneer=hub_bridge,1000,0.7,0.9927370411104123,expE,30,0.998,0.9994513678975429
0.02,E seed=hub_bridge pioneer=random,1000,0.7,0.6975305924825856,expE,30,0.726,0.7527396493563658
0.02,E seed=hub_bridge pioneer=hub_bridge,1000,0.7,0.9961731014136095,expE,30,1.0,1.0
0.02,F robustness_axis=premium_sigma premium_ratio=1.5 digital_growth_sd=0.25,50,0.7,0.0,robustness,30,0.0,0.07135003417431873
0.02,F robustness_axis=premium_sigma premium_ratio=1.5 digital_growth_sd=0.75,50,0.7,0.0,robustness,30,0.0,0.07135003417431873
0.02,F robustness_axis=premium_sigma premium_ratio=1.5 digital_growth_sd=1.0,50,0.7,0.0,robustness,30,0.0,0.07135003417431873
0.02,F robustness_axis=premium_sigma premium_ratio=2.0 digital_growth_sd=0.25,50,0.7,0.0,robustness,30,0.0,0.07135003417431873
0.02,F robustness_axis=premium_sigma premium_ratio=2.0 digital_growth_sd=0.75,50,0.7,0.0,robustness,30,0.0,0.07135003417431873
0.02,F robustness_axis=premium_sigma premium_ratio=2.0 digital_growth_sd=1.0,50,0.7,0.0,robustness,30,0.0,0.07135003417431873
0.02,F robustness_axis=premium_sigma premium_ratio=3.0 digital_growth_sd=0.25,250,0.7,0.17671751406074326,robustness,30,0.224,0.2796363696210489
0.02,F robustness_axis=premium_sigma premium_ratio=3.0 digital_growth_sd=0.75,50,0.7,0.0,robustness,30,0.0,0.07135003417431873
0.02,F robustness_axis=premium_sigma premium_ratio=3.0 digital_growth_sd=1.0,50,0.7,0.0,robustness,30,0.0,0.07135003417431873
0.02,F robustness_axis=premium_sigma premium_ratio=5.0 digital_growth_sd=0.25,250,0.7,0.4110089576615158,robustness,30,0.472,0.5338385377844631
0.02,F robustness_axis=premium_sigma premium_ratio=5.0 digital_growth_sd=0.75,50,0.7,0.0,robustness,30,0.0,0.07135003417431873
0.02,F robustness_axis=premium_sigma premium_ratio=5.0 digital_growth_sd=1.0,50,0.7,0.0,robustness,30,0.0,0.07135003417431873
0.02,F robustness_axis=premium_sigma premium_ratio=10.0 digital_growth_sd=0.25,250,0.7,0.40709862287317655,robustness,30,0.468,0.5298699433507994
0.02,F robustness_axis=premium_sigma premium_ratio=10.0 digital_growth_sd=0.75,250,0.7,0.4149231875977522,robustness,30,0.476,0.5378032370702297
0.02,F robustness_axis=premium_sigma premium_ratio=10.0 digital_growth_sd=1.0,250,0.7,0.08199108127964577,robustness,30,0.116,0.161631713408065
0.02,F robustness_axis=theta_mean digital_growth_sd=1.0 theta_sweep=0.6499999999999999,250,0.7,0.158704508175768,robustness,30,0.204,0.25825472939600896
0.02,F robustness_axis=theta_mean digital_growth_sd=1.0 theta_sweep=0.7,250,0.7,0.10931920870538417,robustness,30,0.148,0.1973350197583507
0.02,F robustness_axis=theta_mean digital_growth_sd=1.0 theta_sweep=0.75,50,0.7,0.0035391680889764604,robustness,30,0.02,0.10495686471836953
0.02,F robustness_axis=seed_fraction digital_growth_sd=1.0 seed_fraction_sweep=0.003,50,0.7,0.0035391680889764604,robustness,30,0.02,0.10495686471836953
0.02,F robustness_axis=seed_fraction digital_growth_sd=1.0 seed_fraction_sweep=0.006,250,0.7,0.12675788778063776,robustness,30,0.168,0.21929098679311218
0.02,F robustness_axis=seed_fraction digital_growth_sd=1.0 seed_fraction_sweep=0.012,50,0.7,0.6258705062480763,robustness,30,0.76,0.8570274759812779
0.02,F robustness_axis=update_schedule digital_growth_sd=1.0 update_schedule=synchronous,250,0.7,0.08874794216937745,robustness,30,0.124,0.1706327109623393
0.02,F robustness_axis=update_schedule digital_growth_sd=1.0 update_schedule=asynchronous,250,0.7,0.31825876924195456,robustness,30,0.376,0.4374944248759521
0.02,F robustness_axis=return_distribution digital_growth_sd=1.0 return_distribution_sweep=normal,250,0.7,0.07529144734526685,robustness,30,0.108,0.1525734888984379
0.02,F robustness_axis=return_distribution digital_growth_sd=1.0 return_distribution_sweep=truncated_normal,250,0.7,0.3144454410853008,robustness,30,0.372,0.43342882381060277
0.02,F robustness_axis=return_distribution digital_growth_sd=1.0 return_distribution_sweep=lognormal,250,0.7,0.29544366352974316,robustness,30,0.352,0.41303595525614534
0.02,F robustness_axis=performance_benchmark digital_growth_sd=1.0 performance_benchmark_sweep=own,250,0.7,0.09898068743644395,robustness,30,0.136,0.1840367533612819
0.02,F robustness_axis=performance_benchmark digital_growth_sd=1.0 performance_benchmark_sweep=mean,50,0.7,0.9286499658256813,robustness,30,1.0,1.0
0.02,F robustness_axis=performance_benchmark digital_growth_sd=1.0 performance_benchmark_sweep=median,50,0.7,0.0,robustness,30,0.0,0.07135003417431873
0.02,F robustness_axis=performance_benchmark digital_growth_sd=1.0 performance_benchmark_sweep=p75,50,0.7,0.9286499658256813,robustness,30,1.0,1.0
